City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Poum,NC,80.78,broken clouds,-20.2333,164.0167,Gîte kajeon
5,Rikitea,PF,78.62,scattered clouds,-23.1203,-134.9692,People ThankYou
6,Hilo,US,75.79,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
8,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Acarau,BR,78.58,broken clouds,-2.8856,-40.12,castelo pizzaria
20,Hithadhoo,MV,81.37,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Vaini,TO,80.69,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Kavieng,PG,83.48,moderate rain,-2.5744,150.7967,Nusa Island Retreat
33,Arraial Do Cabo,BR,75.24,clear sky,-22.9661,-42.0278,Pousada Porto Praia
41,Cockburn Town,TC,78.31,clear sky,21.4612,-71.1419,Osprey Beach Hotel
44,Bengkulu,ID,83.03,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
55,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
63,Bathsheba,BB,75.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
72,Alugan,PH,79.36,overcast clouds,12.2188,125.4808,JM Lodge
79,Nelson Bay,AU,77.77,light rain,-32.7167,152.15,Mantra Nelson Bay
80,Kattivakkam,IN,77.09,clear sky,13.2167,80.3167,Euronova Freezer
93,Vaitape,PF,81.3,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
99,Te Anau,NZ,77.56,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
107,Kudahuvadhoo,MV,80.35,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
108,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
112,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
122,Butaritari,KI,81.39,broken clouds,3.0707,172.7902,Isles Sunset Lodge
125,Atuona,PF,78.8,light rain,-9.8,-139.0333,Villa Enata
126,Makakilo City,US,80.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
132,Bambous Virieux,MU,83.21,light rain,-20.3428,57.7575,Casa Tia Villa
133,Payo,ID,78.28,overcast clouds,-3.7508,103.6372,Mess keban agung
136,Kloulklubed,PW,77.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
144,Dingle,PH,82.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
150,Berekua,DM,75.85,few clouds,15.2333,-61.3167,CarRod's Cottages
153,Saint-Philippe,RE,81.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
158,Qui Nhon,VN,75.56,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
170,Meulaboh,ID,81.77,few clouds,4.1363,96.1285,Kost Pria
174,Mapiripan,CO,77.68,broken clouds,2.8892,-72.1256,Monserrate
176,Kahului,US,79.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
178,La Trinite,MQ,77.05,few clouds,14.7376,-60.9629,L'Appartement de la Baie
180,Nuqui,CO,77.18,moderate rain,5.7125,-77.2708,Hotel Nuquimar
189,Mahebourg,MU,83.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
