City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bollnas,SE,2022-01-21 01:45:37,61.3482,16.3946,28.38,56,0,15.48
1,Manacor,ES,2022-01-21 01:45:37,39.5696,3.2096,42.51,81,4,3.6
2,Albert Lea,US,2022-01-21 01:45:38,43.648,-93.3683,-5.67,84,0,0.0
3,Burnie,AU,2022-01-21 01:45:38,-41.0667,145.9167,70.95,60,3,7.23
4,Torbay,CA,2022-01-21 01:45:38,47.6666,-52.7314,44.58,94,100,18.41
5,Ushuaia,AR,2022-01-21 01:43:42,-54.8,-68.3,58.66,51,0,9.22
6,Ribeira Grande,PT,2022-01-21 01:45:38,38.5167,-28.7,63.0,82,40,9.22
7,Kasongo-Lunda,CD,2022-01-21 01:45:39,-6.4667,16.8167,69.51,98,100,0.31
8,Hilo,US,2022-01-21 01:45:39,19.7297,-155.09,77.79,82,100,10.36
9,Chalmette,US,2022-01-21 01:45:39,29.9427,-89.9634,42.8,78,100,1.99
10,Ganta,LR,2022-01-21 01:45:40,7.3022,-8.5308,65.32,20,21,3.33
11,Puerto Ayacucho,VE,2022-01-21 01:45:40,5.6639,-67.6236,83.71,53,97,3.18
12,Nyurba,RU,2022-01-21 01:45:40,63.2842,118.3319,-6.47,99,100,4.18
13,Thompson,CA,2022-01-21 01:41:48,55.7435,-97.8558,-3.84,71,75,11.5
14,Dohar,BD,2022-01-21 01:45:41,23.5883,90.1469,62.58,46,86,1.07
15,Punta Arenas,CL,2022-01-21 01:42:24,-53.15,-70.9167,57.31,62,0,9.22
16,Praia,CV,2022-01-21 01:44:21,14.9215,-23.5087,72.14,78,75,9.22
17,Kang,BW,2022-01-21 01:45:41,-23.6752,22.7876,71.65,57,66,6.69
18,Tecpan,GT,2022-01-21 01:45:41,14.7623,-90.9947,58.32,73,5,3.27
19,Bilibino,RU,2022-01-21 01:45:41,68.0546,166.4372,-27.9,82,4,3.47
20,Faanui,PF,2022-01-21 01:45:42,-16.4833,-151.75,81.59,74,100,18.79
21,Dakar,SN,2022-01-21 01:41:56,14.6937,-17.4441,72.48,74,91,10.92
22,Aguimes,ES,2022-01-21 01:45:42,27.9054,-15.4461,59.67,77,0,8.05
23,Namibe,AO,2022-01-21 01:45:43,-15.1961,12.1522,69.06,84,99,5.46
24,Pacific Grove,US,2022-01-21 01:45:05,36.6177,-121.9166,63.25,86,40,1.99
25,Busselton,AU,2022-01-21 01:45:43,-33.65,115.3333,96.04,27,1,5.53
26,Yellowknife,CA,2022-01-21 01:41:12,62.456,-114.3525,-10.68,77,100,23.02
27,Erenhot,CN,2022-01-21 01:45:43,43.6475,111.9767,13.53,92,100,6.29
28,Coahuayana,MX,2022-01-21 01:45:44,18.7333,-103.6833,72.0,80,95,1.81
29,Bredasdorp,ZA,2022-01-21 01:45:44,-34.5322,20.0403,58.28,93,0,3.44
30,Vanavara,RU,2022-01-21 01:45:44,60.34,102.2797,-2.63,100,94,3.67
31,Oistins,BB,2022-01-21 01:45:44,13.0667,-59.5333,77.09,78,40,20.71
32,Metes,RO,2022-01-21 01:45:45,46.1,23.4167,29.46,89,65,6.08
33,Hobart,AU,2022-01-21 01:41:24,-42.8794,147.3294,82.27,41,20,1.01
34,Portland,US,2022-01-21 01:41:26,45.5234,-122.6762,51.85,81,75,1.01
35,Kapaa,US,2022-01-21 01:45:45,22.0752,-159.319,80.11,70,0,1.99
36,Narsaq,GL,2022-01-21 01:45:45,60.9167,-46.05,25.02,88,100,16.58
37,Belyy Yar,RU,2022-01-21 01:45:45,53.6039,91.3903,-7.71,92,100,2.24
38,Cockburn Town,TC,2022-01-21 01:45:46,21.4612,-71.1419,78.76,73,40,9.22
39,Culebra,PR,2022-01-21 01:45:46,18.303,-65.301,78.84,80,1,8.01
40,New Norfolk,AU,2022-01-21 01:45:46,-42.7826,147.0587,81.91,30,10,3.0
41,Cape Town,ZA,2022-01-21 01:45:47,-33.9258,18.4232,64.11,82,0,1.99
42,Ponta Do Sol,PT,2022-01-21 01:45:47,32.6667,-17.1,65.03,81,88,15.43
43,Coihueco,CL,2022-01-21 01:41:51,-36.6167,-71.8333,63.34,34,0,8.05
44,Umea,SE,2022-01-21 01:45:47,63.8284,20.2597,28.33,59,0,18.41
45,Klaebu,NO,2022-01-21 01:45:48,63.2976,10.4826,35.85,99,100,13.56
46,Pop,UZ,2022-01-21 01:46:48,40.8736,71.1089,30.69,44,0,3.36
47,Buritis,BR,2022-01-21 01:46:48,-15.6178,-46.4233,70.45,75,0,0.63
48,Mbekenyera,TZ,2022-01-21 01:46:49,-10.0,38.9833,69.21,99,100,1.61
49,Rikitea,PF,2022-01-21 01:46:49,-23.1203,-134.9692,78.82,75,100,7.94
50,Vilyuysk,RU,2022-01-21 01:46:49,63.7553,121.6247,-5.93,100,100,3.76
51,Finschhafen,PG,2022-01-21 01:46:49,-6.6024,147.8681,81.63,81,100,6.55
52,Saskylakh,RU,2022-01-21 01:46:50,71.9167,114.0833,-20.76,93,59,7.65
53,Puerto Ayora,EC,2022-01-21 01:46:50,-0.7393,-90.3518,74.55,94,89,1.99
54,Longyearbyen,SJ,2022-01-21 01:46:50,78.2186,15.6401,10.24,67,20,2.3
55,Corinto,GR,2022-01-21 01:46:50,37.9407,22.9573,51.46,77,0,6.15
